"reference";"total_length";"total_volume";"mean_circ";"num_orders";"length_ord01";"volume_ord01";"circ_ord01";"inv_circ_ord01"
BM01_cl_dw_cluster_26_QSM;4.55758047103882;0.00221206426620483;7.40208389861993;4;3.64783275127411;0.00174981307983398;8.26029247205178;NA
BM01_cl_dw_cluster_260_QSM;1.49419462680817;0.000454866915941238;5.80498007147387;2;1.09486645460129;0.000272472091019154;5.97264564274869;NA
BM01_cl_dw_cluster_261_QSM;2.83023357391357;0.00119811534881592;6.84363928879213;3;1.81980156898499;0.000701404064893723;7.8032056805128;NA
BM01_cl_dw_cluster_262_QSM;4.5513014793396;0.0022923059463501;7.59306146091625;4;3.01833027601242;0.00146685060858727;7.5988081981195;NA
BM01_cl_dw_cluster_263_QSM;3.49936413764954;0.000935955286026001;5.32362797420789;3;2.50205075740814;0.000659309893846512;5.36791040057524;NA
BM01_cl_dw_cluster_264_QSM;2.94454646110535;0.00133668255805969;7.11852391623705;3;2.39952063560486;0.000930146485567093;7.10877458437317;NA
BM01_cl_dw_cluster_27_QSM;7.29194593429565;0.00318345165252686;7.07701213453329;5;3.94761037826538;0.0018160805106163;8.01957169763673;NA
BM01_cl_dw_cluster_28_QSM;4.13745975494385;0.00231798434257507;7.68884125351524;2;3.54728665947914;0.00192350398004055;8.11514213408945;NA
BM01_cl_dw_cluster_3_QSM;14.563907623291;0.00475817346572876;6.06239319518885;4;8.71661591529846;0.00259781396389008;6.69300402740058;NA
BM01_cl_dw_cluster_30_QSM;12.0080890655518;0.00322306561470032;5.27986208460954;6;5.79678583145142;0.00136492556333542;5.80858907834276;NA
BM01_cl_dw_cluster_31_QSM;3.51909923553467;0.00316098237037659;9.36516484366634;3;2.84109699726105;0.00185213971138;10.1892892781306;23.2530852106204
BM01_cl_dw_cluster_32_QSM;7.96437120437622;0.00214758324623108;5.06436477109298;4;4.6375527381897;0.000904947966337204;5.73082535721245;NA
BM01_cl_dw_cluster_33_QSM;15.6869716644287;0.00319712686538696;4.82598899925307;4;9.66777992248535;0.00178666079044342;4.9074464255012;NA
BM01_cl_dw_cluster_34_QSM;2.64923167228699;0.00152149868011475;7.27701908298956;2;2.23734724521637;0.00122210049629211;7.39755263665563;NA
BM01_cl_dw_cluster_35_QSM;34.1409683227539;0.00742384481430054;5.05687345058914;8;10.4570164680481;0.00249806368350983;5.72937684032979;NA
BM01_cl_dw_cluster_36_QSM;10.9690589904785;0.0152563819885254;10.0614192303569;4;6.93726682662964;0.00419398319721222;11.9030607620299;24.1081635899414
BM01_cl_dw_cluster_37_QSM;4.49594593048096;0.0014496123790741;5.9618395601309;4;3.2614563703537;0.000803004920482635;6.78011274366929;NA
BM01_cl_dw_cluster_38_QSM;6.1755633354187;0.00139704072475433;5.14754328457139;3;4.6231632232666;0.000975635647773743;5.61497305407238;NA
BM01_cl_dw_cluster_39_QSM;47.8092346191406;0.00917032623291016;4.77688573977194;5;23.7534427642822;0.0045330650806427;5.04373934029338;NA
BM01_cl_dw_cluster_4_QSM;11.4817161560059;0.00449561977386475;6.38979662843755;4;8.47268652915955;0.00335786581039429;6.66967476892965;NA
BM01_cl_dw_cluster_40_QSM;4.24504470825195;0.000938955783843994;4.80079739911898;4;3.18534409999847;0.000581172227859497;5.24606062005345;NA
BM01_cl_dw_cluster_41_QSM;3.45638704299927;0.000710274815559387;4.64652389629073;3;2.80889368057251;0.000536365315318108;5.13550264555468;NA
BM01_cl_dw_cluster_43_QSM;4.62936592102051;0.00139404344558716;5.78725136502979;3;3.97258019447327;0.00110719323158264;6.02397767117461;NA
BM01_cl_dw_cluster_44_QSM;4.29448509216309;0.000794525384902954;4.65569150302357;3;3.40949809551239;0.000587422549724579;4.72318402095931;NA
BM01_cl_dw_cluster_45_QSM;8.43451499938965;0.00274679517745972;6.27443583379261;4;5.45676004886627;0.00182890909910202;6.3150970591627;NA
