//X Y Z R G B PointSourceId UserData EdgeOfFlightLine ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
-8.94999981 -0.43000001 -0.04000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.965948 0.114169 -0.232187
-8.93000031 -0.43000001 -0.07000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.892744 0.241322 -0.380489
-8.85000038 -0.34999999 -0.13000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.826206 0.342804 -0.447067
-8.86999989 -0.37000000 -0.12000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.870834 0.162458 -0.463957
-8.90999985 -0.34000000 -0.09000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.854788 0.518834 -0.012192
-8.89000034 -0.34999999 -0.08000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.604240 0.793693 -0.070327
-8.89000034 -0.31999999 -0.14000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.854056 0.385953 -0.348753
-8.89000034 -0.36000001 -0.09000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.791288 0.415871 -0.448235
-8.90999985 -0.37000000 -0.08000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.845968 0.502806 -0.177549
-8.90999985 -0.37000000 -0.09000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.955747 0.262336 -0.133145
-8.90999985 -0.38000000 -0.08000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.611747 0.736332 -0.289102
-8.89000034 -0.41000000 -0.09000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.940202 0.330983 -0.080438
-8.93999958 -0.41999999 -0.08000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.696432 0.627930 -0.347400
-9.28999996 0.55000001 -0.15000001 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.942789 0.331319 0.037098
-9.14000034 0.22000000 -0.20999999 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.937901 0.341412 -0.061480
-9.25000000 0.20999999 -0.20999999 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.853914 0.492813 -0.167231
-9.53999996 0.56000000 0.12000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.791218 0.606745 -0.076384
-9.46000004 0.82999998 0.00000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.747974 0.645222 -0.155639
-9.42000008 0.73000002 -0.08000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.753134 0.633977 -0.175680
-9.42000008 0.74000001 -0.09000000 156 7 174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.000000 4.000000 0.829732 0.551722 0.084550
